,time,bid1,bid_size1,ask1,ask_size1,bid2,bid_size2,ask2,ask_size2
212,2020-11-23 11:14:49.234944-05:00,18.92,10517,18.93,1673,13.75,2798,13.76,521
213,2020-11-23 11:14:59.255612-05:00,18.93,6722,18.94,11874,13.76,2871,13.77,1980
214,2020-11-23 11:15:09.271874-05:00,18.93,6434,18.94,8169,13.76,2510,13.77,997
215,2020-11-23 11:15:19.040758-05:00,18.93,5022,18.94,11631,13.76,2130,13.77,1486
216,2020-11-23 11:15:29.059414-05:00,18.93,6231,18.94,10039,13.76,2465,13.77,1137
217,2020-11-23 11:15:39.078327-05:00,18.93,4550,18.94,4090,13.77,1466,13.78,1608
218,2020-11-23 11:15:49.096940-05:00,18.93,8972,18.94,4425,13.77,1423,13.78,2312
219,2020-11-23 11:15:59.116671-05:00,18.93,8424,18.94,5871,13.76,2559,13.77,1520
220,2020-11-23 11:16:09.134793-05:00,18.92,9705,18.93,7380,13.75,1922,13.76,1804
221,2020-11-23 11:16:19.153870-05:00,18.92,9858,18.93,6965,13.75,1855,13.76,1876
222,2020-11-23 11:16:29.172962-05:00,18.92,10384,18.93,6898,13.75,2372,13.76,1714
223,2020-11-23 11:16:39.190311-05:00,18.92,10587,18.93,4771,13.75,2714,13.76,811
224,2020-11-23 11:16:49.209574-05:00,18.93,7327,18.94,11164,13.76,2368,13.77,2432
225,2020-11-23 11:16:59.228908-05:00,18.93,6226,18.94,11139,13.76,2283,13.77,2160
226,2020-11-23 11:17:09.246923-05:00,18.93,6542,18.94,9618,13.76,2410,13.77,1731
227,2020-11-23 11:17:19.265022-05:00,18.93,6253,18.94,11159,13.76,2175,13.77,1988
228,2020-11-23 11:17:29.282986-05:00,18.93,6799,18.94,10153,13.76,2606,13.77,1759
229,2020-11-23 11:17:39.052724-05:00,18.93,7504,18.94,10160,13.76,2693,13.77,1758
230,2020-11-23 11:17:49.069512-05:00,18.93,10070,18.94,6603,13.76,3328,13.77,550
231,2020-11-23 11:17:59.087639-05:00,18.93,10251,18.94,4335,13.77,2207,13.78,2260
232,2020-11-23 11:18:09.106810-05:00,18.94,10521,18.95,8951,13.78,3322,13.79,1189
233,2020-11-23 11:18:19.123488-05:00,18.95,1251,18.96,13169,13.78,3183,13.79,1228
234,2020-11-23 11:18:29.141338-05:00,18.94,12114,18.95,1191,13.78,3165,13.79,496
235,2020-11-23 11:18:39.158960-05:00,18.94,11714,18.95,1656,13.78,3141,13.79,471
236,2020-11-23 11:18:49.176644-05:00,18.94,11156,18.95,4461,13.78,2860,13.79,1153
237,2020-11-23 11:18:59.194183-05:00,18.94,11098,18.95,4787,13.78,2720,13.79,1184
238,2020-11-23 11:19:09.212769-05:00,18.95,6723,18.96,11802,13.79,2232,13.8,2190
239,2020-11-23 11:19:14.221101-05:00,18.95,6723,18.96,11802,13.79,1674,13.8,2114
240,2020-11-23 11:19:19.230269-05:00,18.95,4791,18.96,12191,13.79,1674,13.8,2114
241,2020-11-23 11:19:29.249185-05:00,18.95,4638,18.96,12104,13.79,1590,13.8,2027
242,2020-11-23 11:19:39.266804-05:00,18.94,10935,18.95,6793,13.78,2811,13.79,2285
243,2020-11-23 11:19:49.284746-05:00,18.94,7727,18.95,10254,13.78,1684,13.79,3363
244,2020-11-23 11:19:59.051305-05:00,18.94,7096,18.95,11031,13.78,963,13.79,3364
245,2020-11-23 11:20:09.071021-05:00,18.94,3142,18.95,11787,13.77,2365,13.78,2016
246,2020-11-23 11:20:19.088483-05:00,18.94,4832,18.95,11288,13.77,3045,13.78,1379
247,2020-11-23 11:20:29.106723-05:00,18.94,9058,18.95,6521,13.78,2420,13.79,2228
248,2020-11-23 11:20:39.125038-05:00,18.94,9192,18.95,6065,13.78,2235,13.79,2053
249,2020-11-23 11:20:49.144155-05:00,18.94,9309,18.95,5194,13.78,2940,13.79,1491
250,2020-11-23 11:20:59.163476-05:00,18.95,1295,18.96,12608,13.78,2701,13.79,1421
251,2020-11-23 11:21:09.180372-05:00,18.94,9579,18.95,7312,13.78,2298,13.79,1490
252,2020-11-23 11:21:19.198296-05:00,18.94,9150,18.95,7322,13.78,2150,13.79,1870
253,2020-11-23 11:21:29.215553-05:00,18.94,9150,18.95,7332,13.78,2159,13.79,2149
254,2020-11-23 11:21:39.234196-05:00,18.94,9145,18.95,7354,13.78,2166,13.79,2141
255,2020-11-23 11:21:49.251393-05:00,18.95,8174,18.96,11297,13.79,2071,13.8,1365
256,2020-11-23 11:21:59.270150-05:00,18.95,6606,18.96,12494,13.79,1525,13.8,1924
257,2020-11-23 11:22:09.288273-05:00,18.95,1072,18.96,12715,13.78,2668,13.79,1735
258,2020-11-23 11:22:19.055100-05:00,18.94,6341,18.95,11710,13.78,719,13.79,2885
259,2020-11-23 11:22:29.073996-05:00,18.94,9879,18.95,6827,13.78,1946,13.79,1865
260,2020-11-23 11:22:39.103545-05:00,18.94,10283,18.95,4075,13.78,2721,13.79,936
