time,bid1,bid_size1,ask1,ask_size1,bid2,bid_size2,ask2,ask_size2,mid1,mid2,residuals,imb1,imb2,residual_later,mid1_later,mid2_later,imb1_later,imb2_later,pnl,mid1_diff,mid2_diff,residual_bucket,imb1_bucket,imb2_bucket,avg_pnl,G1_It,G2_It,dM1,dM2,residual_bucket_later,imb1_bucket_later,imb2_bucket_later,current_state,later_state,micro1_adj,micro2_adj,micro1,micro2
2020-11-23 15:47:29.074911+00:00,18.96,9626,18.97,6397,13.81,2112,13.82,1993,18.965,13.815,-0.003589281722419457,0.6007614054796231,0.5144945188794153,-0.003589281722419457,18.965,13.815,0.5175190003864485,0.3655973451327434,0.0,0.0,0.0,1,1,1,0.0017378263349258599,0.0,0.0,0,0,1,1,1,111,11100,0.0024932832384759185,-0.004488131640785332,18.967493283238475,13.810511868359214
2020-11-23 15:47:39.092721+00:00,18.96,8035,18.97,7491,13.81,1322,13.82,2294,18.965,13.815,-0.003589281722419457,0.5175190003864485,0.3655973451327434,-0.003589281722419457,18.965,13.815,0.5574992485722874,0.4178330741316744,0.0,0.0,0.0,1,1,1,0.0017378263349258599,0.0,0.0,0,0,1,1,1,111,11100,0.0024932832384759185,-0.004488131640785332,18.967493283238475,13.810511868359214
2020-11-23 15:47:49.110945+00:00,18.96,9274,18.97,7361,13.81,1612,13.82,2246,18.965,13.815,-0.003589281722419457,0.5574992485722874,0.4178330741316744,-0.003589281722419457,18.965,13.815,0.4410792951541849,0.26772151898734176,0.0,0.0,0.0,1,1,1,0.0017378263349258599,0.0,0.0,0,0,1,1,0,111,11000,0.0024932832384759185,-0.004488131640785332,18.967493283238475,13.810511868359214
2020-11-23 15:47:59.127753+00:00,18.96,8010,18.97,10150,13.81,846,13.82,2314,18.965,13.815,-0.003589281722419457,0.4410792951541849,0.26772151898734176,-0.003589281722419457,18.965,13.815,0.6216428269660209,0.6506712367894887,0.0,0.0,0.0,1,1,0,0.0017378263349258599,0.0,-0.00250980392156869,0,0,1,1,1,110,11100,0.0008926711225372864,-0.006275252314918811,18.965892671122536,13.80872474768508
2020-11-23 15:48:09.145046+00:00,18.96,10300,18.97,6269,13.81,2278,13.82,1223,18.965,13.815,-0.003589281722419457,0.6216428269660209,0.6506712367894887,-0.003589281722419457,18.965,13.815,0.6443512024048096,0.6866703539823009,0.0,0.0,0.0,1,1,1,0.0017378263349258599,0.0,0.0,0,0,1,1,2,111,11200,0.0024932832384759185,-0.004488131640785332,18.967493283238475,13.810511868359214
2020-11-23 15:48:19.162239+00:00,18.96,10289,18.97,5679,13.81,2483,13.82,1133,18.965,13.815,-0.003589281722419457,0.6443512024048096,0.6866703539823009,-0.003589281722419457,18.965,13.815,0.6109608797548224,0.5514818209593645,0.0,0.0,0.0,1,1,2,0.0017378263349258599,0.0,0.00250980392156869,0,0,1,1,1,112,11100,0.0024932832384759185,-0.004488131640785332,18.967493283238475,13.810511868359214
2020-11-23 15:48:29.179773+00:00,18.96,10167,18.97,6474,13.81,1805,13.82,1468,18.965,13.815,-0.003589281722419457,0.6109608797548224,0.5514818209593645,-0.003589281722419457,18.965,13.815,0.6149745577901623,0.6404748445449406,0.0,0.0,0.0,1,1,1,0.0017378263349258599,0.0,0.0,0,0,1,1,1,111,11100,0.0024932832384759185,-0.004488131640785332,18.967493283238475,13.810511868359214
2020-11-23 15:48:39.196580+00:00,18.96,10152,18.97,6356,13.81,2266,13.82,1272,18.965,13.815,-0.003589281722419457,0.6149745577901623,0.6404748445449406,-0.003589281722419457,18.965,13.815,0.6090979182729376,0.40228945216680295,0.0,0.0,0.0,1,1,1,0.0017378263349258599,0.0,0.0,0,0,1,1,1,111,11100,0.0024932832384759185,-0.004488131640785332,18.967493283238475,13.810511868359214
2020-11-23 15:48:49.216609+00:00,18.96,8690,18.97,5577,13.81,1476,13.82,2193,18.965,13.815,-0.003589281722419457,0.6090979182729376,0.40228945216680295,-0.003589281722419457,18.965,13.815,0.6502217294900222,0.4373650107991361,0.0,0.0,0.0,1,1,1,0.0017378263349258599,0.0,0.0,0,0,1,1,1,111,11100,0.0024932832384759185,-0.004488131640785332,18.967493283238475,13.810511868359214
2020-11-23 15:48:59.231296+00:00,18.96,9384,18.97,5048,13.81,1620,13.82,2084,18.965,13.815,-0.003589281722419457,0.6502217294900222,0.4373650107991361,-0.003589281722419457,18.965,13.815,0.6284931140526808,0.38954468802698144,0.0,0.0,0.0,1,1,1,0.0017378263349258599,0.0,0.0,0,0,1,1,1,111,11100,0.0024932832384759185,-0.004488131640785332,18.967493283238475,13.810511868359214
